video_id,channel_id,channel_title,title,description,published_at,duration,view_count,like_count,fave_count,comment_count
i5FtvujzxTs,UCER4rvDnRBPr_ncYW4UCZjg,tvOneNews ,PERCAKAPAN TERAKHIR SAMBO DAN ISTRI SEBELUM BUNUH YOSHUA #Shorts #tvOne #Sambo #BrigadirJ,"Jakarta, https://www.tvOnenews.com - PERCAKAPAN TERAKHIR SAMBO DAN ISTRI SEBELUM BUNUH YOSHUA #Shorts #tvOne #Sambo #BrigadirJ



Saksikan live streaming tvOne hanya di https://www.tvonenews.com/live",2022-08-14T16:06:20Z,PT1M,13703148,177989,0,4586
vW_W8HBKi2Q,UC5BMIWZe9isJXLZZWPWvBlg,KOMPASTV,"Sempat Acungkan Jempol, Ini Ekspresi Ferdy Sambo Usai Dipecat dari Polri di Sidang Etik","JAKARTA, KOMPAS.TV  Inilah ekspresi dari Irjen Ferdy Sambo usai menjalani sidang etik Polri selama hampir 17 jam pada 26 Agustus 2022 dini hari.

Sidang etik Ferdy Sambo ini dilangsungkan atas dugaan pelanggaran kasus pembunuhan berencana Brigadir J.

Irjen Ferdy Sambo memilih bungkam saat keluar dari ruangan sidang di gedung TNCC Polri pada Jumat, 26 Agustus 2022 dini hari.

Saat keluar, Ferdy Sambo dikawal ketat oleh sejumlah personel Brimob bersenjata lengkap serta dikawal oleh personel Propam Polri.

Baca Juga Ini Reaksi Irjen Ferdy Sambo Setelah Resmi Dipecat dari Polri karena Kasus Pembunuhan Brigadir J di https://www.kompas.tv/article/322543/ini-reaksi-irjen-ferdy-sambo-setelah-resmi-dipecat-dari-polri-karena-kasus-pembunuhan-brigadir-j

Sambo langsung dibawa masuk ke dalam kendaraan taktis Korps Brimob dan dibawa ke tempat khusus Mako Brimob Kelapa Dua Polri.

Dalam sidang etik ini, Polri memutuskan untuk memecat Sambo secara tidak hormat sebagai anggota Polri.

Video Editor: Vila Randita

Artikel ini bisa dilihat di :  https://www.kompas.tv/article/322547/sempat-acungkan-jempol-ini-ekspresi-ferdy-sambo-usai-dipecat-dari-polri-di-sidang-etik",2022-08-26T00:37:13Z,PT1M47S,8582676,30192,0,12883
gjb9CcK-EKU,UCnOf30K0d0e8M7mc4FUzR0A,Narasi Newsroom,Pengakuan Ferdy Sambo Habisi Brigadir Yosua | Buka Mata,"Kabar terbaru perkembangan dugaan pembunuhan Brigadir Nofriansyah Yosua Hutabarat menemui titik terang. Meski lambat, tapi sebulan setelah peristiwa itu, Polri akhirnya menetapkan eks Kepala Divisi Propam Mabes Polri, Irjen Ferdy Sambo sebagai tersangka. Ia diduga terlibat dalam pembunuhan Yosua. 

Tapi yang jadi pertanyaan, apakah benar Ferdy Sambo hanya mengotaki pembunuhan itu? Apakah dia tak ikut menghabisi Brigadir Yosua?. 

Narasi menemui Ketua Komnas HAM, Ahmad Taufan Damanik. Kepada kami, ia berbicara terbuka terkait perkembangan kasus pembunuhan yang membetot perhatian publik ini. Taufan bilang, Ferdy Sambo tidak hanya menjadi aktor intelektual pembunuhan Brigadir Yosua. Ia juga ikut menembak sang ajudan hingga tewas dengan lima tembakan. 

Semua keterangan itu ia dapat dari hasil pemeriksaan kedua Bharada Richard Eliezer Pudihang Lumiu atau disebut Bharada E. Kepada Taufan, ia memberi keterangan baru yakni peristiwa sebenarnya terjadi di rumah dinas Ferdy Sambo yang menewaskan Brigadir Yosua. 

#FerdySambo #Polisi #BUkaMata #JadiPaham #Narasi 

(Narasi)

Jangan lupa subscribe,  tinggalkan komentar dan share video ini.

Tonton konten video-video lainnya di https://www.narasi.tv

Follow:
https://www.instagram.com/narasi.tv
https://www.facebook.com/narasi.tv
https://twitter.com/narasitv

Konten video dan YouTube Channel ini adalah bagian dari Narasi.",2022-08-18T12:00:33Z,PT14M29S,8004872,59843,0,11352
btyBE-nvnhE,UCdygRiDGTM9kjc-7hrrB-7Q,Harian Surya,"Percakapan Ferdy Sambo dan Istri sebelum Habisi Brigadir J,  Diduga Turut Pengaruhi Pembunuhan","VP: Rendra Kurniawan

Jakarta, Surya.co.id

Komnas HAM menemukan adanya komunikasi antara Irjen Ferdy Sambo dengan istrinya yang diduga turut mempengaruhi kejadian penembakan.

Hal tersebut disampaikan Komisioner Komnas HAM Choirul Anam usai memeriksa Irjen Ferdy Sambo di Mako Brimob.

Percakapan itu disebut sangat mempengaruhi pembunuhan Brigadir J .

Namun, Anam tidak menjelaskan isi percakapan itu.

Temuan ini akan direkomendasikan kepada penyidik.

Anam juga melakukan konfirmasi terkait ancaman yang diterima Brigadir J sebelum dibunuh.

Seluruh keterangan Sambo ini akan menjadi catatan penting apakah ada proses pelanggaran HAM.

Dalam pemeriksaan tersebut, Sambo mengakui jadi aktor utama kasus pembunuhan Brigadir J dan baku tembak hanya sebuah rekayasa.

Usai mengaku, Ferdy Sambo meminta  maaf kepada Komnas HAM dan masyarakat Indonesia.

WEBSITE: 
http://surabaya.tribunnews.com/ 

Instagram:
http://instagram.com/suryaonline

Facebook:
https://www.facebook.com/SURYAonline/

#hariansurya
#suryaonline",2022-08-13T08:16:37Z,PT55S,6521661,57636,0,2871
yNLBtVldCQQ,UC5BMIWZe9isJXLZZWPWvBlg,KOMPASTV,"Hakim Tertawa, Dengar Kesaksian Kuat Sama dengan Ricky Soal Sambo Tidak Tembak Yosua","JAKARTA, KOMPAS.TV  Kuat Maruf secara lancar menceritakan kronologi penembakan pada tanggal 8 Juli 2022.

Pada persidangan PN Jaksel, Senin (5/12/2022), Kuat mengatakan setelah tembak tembok Ferdy Sambo keluar.

""Saya pikir saya juga mau ditembak. Bapak maju ke depan tembak-tembak tembok. Setelah itu bapak keluar. Romer masuk,""cerita Kuat pada hakim.

""Bentar. Sebelum tembak tembok kapan dia tembak Yosua?""tanya hakim pada Kuat.

Baca Juga Begini Respons Ricky Rizal Saat Skenario Tembak-Menembak di Duren Tiga Dibongkar Eliezer di https://www.kompas.tv/article/355307/begini-respons-ricky-rizal-saat-skenario-tembak-menembak-di-duren-tiga-dibongkar-eliezer

""Saya tidak lihat bapak tembak Yosua. Begini yang mulia. Posisi Yosua jatuh saya Cuma lihat kakinya,""kata Kuat.

""Tadi sudah dipraktikkan sama saudara Richard. Beridirnya RE (Richard Eliezer) sama RR (Ricky Rizal) enggak jauh, tapi karena kalian buta, dan tuli, jadi saudara enggak denger dan enggak lihat, kan gitu yang saudara sampaikan,"" singgung Hakim.

Video Editor: Firmansyah

Artikel ini bisa dilihat di :  https://www.kompas.tv/article/355433/hakim-tertawa-dengar-kesaksian-kuat-sama-dengan-ricky-soal-sambo-tidak-tembak-yosua",2022-12-06T02:19:08Z,PT11M1S,6517402,38163,0,10325
jCcVZ8cBnLw,UCdOovgmIPfj9a-o3VP5i2_g,MerdekaDotCom,POTRET KEBERSAMAAN BRIGADIR J DENGAN IRJEN FERDY SAMBO,"Pernah foto bareng keluarga, ternyata Brigadir J dan Irjen Ferdy Sambo sudah sedekat itu!
Wah menurut kalian gimana niih?

#merdekadotcom #short #polisitembakpolisi #kasuspenembakan #irjenferdysambo",2022-07-22T11:41:19Z,PT43S,6424512,40538,0,1692
hLJjg3OdjQg,UCB1fvlA5xmLJ0tZblpoTuaQ,VIVA.CO.ID,Ferdy Sambo Sebut Pemimpin Harus Kuat! #vivacoid #ferdysambo #sambo,"VIVA - Irjen Ferdy Sambo menceritakan saat ia memimpin Satgasus Polri. Simak video selengkapnya di sini https://youtu.be/3PDZS9OgrHE

Baca berita terbaru, terkini dan terpopuler disini https://www.viva.co.id/",2022-08-12T12:00:35Z,PT58S,6459909,61829,0,14231
7E9Ty5MoOME,UCu9g2ID__kol_6aqQJTn9kg,Tribun Pontianak,⚪ Sosok Bripka Matius Marey Ajudan Irjen Ferdy Sambo yang Brewokan dan Tangannya Bertato,"Salah seorang ajudan menjadi sorotan saat Irjen Ferdy Sambo diperiksa di Bareskrim Polri.

Saat Ferdy Sambo tiba di gedung Bareskrim Polri, Jalan Trunojoyo, Kebayoran Baru, Jakarta Selatan, Ferdy mendapat pengawalan ketat dari belasan orang.

Di antara pengawal itu, ada satu orang yang tampaknya akrab dengan Ferdy Sambo. 

Dia berpakaian warna gelap dan memberi gestur meminta jalan buat Ferdy.

Saat itulah angan kirinya terbuka, terlihat tato.

Dua buah tato sangar tampak di tangan kiri ajudan brewok Irjen Ferdy Sambo saat mendampingi di Bareskrim Polri, Kamis 4 Agustus 2022.

Dari foto hasil jepretan fotografer Tribunnews.com, tampak ajudan brewok Irjen Ferdy Sambo sedang menghalau sejumlah orang yang ada di depannya menggunakan tangan kiri.

Ajudan brewok itu potongan rabut plontis di sebelah kiri dan kanan dan mengenakan stelan kemeja hitam.

Dua tato sangar itu terlihat bergambar besar dari punggung telapak tangan hingga lengannya.

Gambar tato di punggung telapak tangan itu seperti wajah singa hingga ke atas pergelangan tangan.

Sedangkan gambar tato satunya berada di lengan, namun tidak begitu jelas. Tatonya mirip wajah burung.

Sebelumnya, ajudan brewok Irjen Ferdy Sambo sempat viral setelah fotonya bersama Ferdy Sambo dan sejumlah ajudan lainnya tersebar di media sosial.

Pemampilan  tato dan berewokan sehingga berbeda dibanding dengan ajudan Sambo yang lainnya.

Sosok itu adalah Bripka Matius Marey  merupakan satu dari sekian banyak ajudan Sambo, selain Brigadir J dan Bharada E.

Dia diketahui merupakan putra asli Papua.

Sejumlah foto Bripka Matius bersama Sambo dan ajudan lainnya, termasuk Brigadir J dan Bharada E, telah beredar.

Ada juga foto yang memperlihatkan Bripka Matius berfoto di depan mobil dinas yang diperkirakan milik Irjen Sambo.

Bripka Matius juga diperkirakan telah berkeluarga.

Bripka Matius rajin membagikan foto keluarganya.

Dia sudah memiliki seorang istri yang berasal dari Ambon, Maluku.

Dari pernikahannya, ia memiliki  4 anak, yang masih kecil-kecil. 

Matius senang mengunggah kegiatan sehari-harinya sebagai ajudan sekaligus pengawal Irjen Ferdy Sambo.

Bagaimana aturan personil polisi bertatoo?

Sebenarnya ada aturan polisi mengenai tato.

Dilansir dari laman penerimaan polri.go.id. ada persyaratan khusus bahwa polisi tidak boleh bertato dan ditindik,Sabtu(5/8/2022).

Jaman orde baru, Diketahui kalau pada orden baru Presiden Soeharto melarang penggunaan tato.

Saat itu diadakan operasi petrus pada preman apalagi bertato.

Korban penembakan adalah bertato sehingga stigma masyrakat tentang tato jelak.

Setelah Presiden Soeharto lengser baru memperbolehkan tato untuk masyarakat.

Dalam penerimaan TNI juga melarang pengunaan tato.

tercantum dalam Peraturan Panglima Nomor 161 Tahun 2011 tentang Petunjuk Administrasi Pembinaan Personel PNS TNI.

Kumpulan video menarik, unik, viral, hiburan, dunia selebriti, gaya hidup, sport dan peristiwa terkini untuk Anda.

Simak berita selengkapnya di http://pontianak.tribunnews.com/
Simak Video Viral lainnya https://pontianak.tribunnews.com/topic/berita-video

#ferdysambo #irjenferdysambo #bripkamatius 


Follow us:

Instagram: https://www.instagram.com/tribunpontianak/
Facebook: https://www.facebook.com/TribunPontianakInteraktif/
Twitter: https://twitter.com/tribunpontianak
TikTok: tiktok.com/@tribunpontianak
Video Editor :  @gabrielalvando175 

Terima Kasih Telah Subscribe, Like, dan comment konten-konten menarik dari Kami.",2022-08-07T05:38:47Z,PT52S,5560790,41777,0,3256
uy7Od8NtR1A,UCdygRiDGTM9kjc-7hrrB-7Q,Harian Surya,"Nasib Istri Ferdy Sambo usai Bohong soal Pelecehan oleh Brigadir J, Terancam Dipidana","VP: Rendra Kurniawan

Jakarta, Surya.co.id

Istri Ferdy Sambo, Putri Candrawathi terbukti membuat laporan palsu soal pelecehan seksual yang dilakukan Brigadir J.

Laporan itu kini telah dihentikan oleh Bareskrim Polri.

Kabareskrim Polri, Komjen Pol Agus Andrianto mengatakan, Putri bisa dijerat pidana. ia menyerahkan status hukum Putri Candrawathi kepada timsus.

Laporan itu terbukti palsu setelah semua saksi melihat Brigadir J tak masuk ke rumah saat mengantar Putri ke rumah dinas.

Begitupun dengan tudingan todongan pistol yang dibuat oleh Putri.

Brigadir J baru masuk ke dalam rumah setelah Irjen Ferdy Sambo tiba di rumah dinas lalu memberikan perintah Brigadir J masuk ke dalam rumah yang kemudian dieksekusi.

Sumber: Tribunnews.com

WEBSITE: 
http://surabaya.tribunnews.com/ 

Instagram:
http://instagram.com/suryaonline

Facebook:
https://www.facebook.com/SURYAonline/

#hariansurya
#suryaonline",2022-08-13T06:27:02Z,PT43S,6624666,56575,0,4820
MH_hzuxxeW8,UCnOf30K0d0e8M7mc4FUzR0A,Narasi Newsroom,Membongkar Manipulasi CCTV Sambo | Buka Mata,"Munculnya rekaman CCTV yang merunut kronologis sebelum pembunuhan Brigadir Nofriansyah Yosua Hutabarat menyiratkan adanya kejanggalan. Rekaman itu sejak awal mengindikasikan bahwa narasi yang ingin dibangun ialah soal adanya pelecehan dan mengaburkan keterlibatan Ferdy Sambo dalam pembunuhan berencana terhadap Brigadir Yosua.

Kami menganalisis rekaman CCTV yang beredar dengan mengujinya menggunakan sumber data terbuka, yakni menganalisis dengan waktu jam matahari dan arah bayangan. Hasilnya, rekaman CCTV yang beredar itu diduga hasil manipulasi untuk melancarkan skenario pelecehan dan menghapus jejak keterlibatan Sambo dalam pembunuhan Yosua.

Banyak temuan yang menyiratkan bahwa sejak awal rekaman itu memang sengaja diarahkan dan menghilangkan keterlibatan Sambo dalam kasus pembunuhan. Temuan lainnya, banyak potongan yang hilang dan sengaja disusun ulang dan dimanipulasi untuk memuluskan skenario meloloskan Sambo sebagai pelaku pembunuhan Yosua.

Lalu pertanyaannya, apakah CCTV itu menjadi bukti yang serahkan ke Polisi ke Kejaksaan? Apakah CCTV ini bakal jadi bukti di persidangan?

#BukaMata #FerdySambo #CCTV #NarasiNewsroom #JadiPaham #Narasi 

(Narasi)

Jangan lupa subscribe,  tinggalkan komentar dan share video ini.

Tonton konten video-video lainnya di https://www.narasi.tv

Follow:
https://www.instagram.com/narasi.tv
https://www.facebook.com/narasi.tv
https://twitter.com/narasitv

Konten video dan YouTube Channel ini adalah bagian dari Narasi.",2022-08-25T13:00:12Z,PT9M,4970873,58743,0,6011
