video_id,channel_id,channel_title,title,description,published_at,duration,view_count,like_count,fave_count,comment_count
SoBwAbSTVSE,UC5E0wgsW3JyQEP-DLkGwI2Q,Netflix Indonesia,"Ice Cold: Murder, Coffee and Jessica Wongso | Trailer Resmi | Netflix","Kasus pembunuhan kopi dengan sianida tahun 2016 di Indonesia yang melibatkan Jessica Wongso dan Mirna Salihin masih menyimpan misteri sampai saat ini.

Apakah pembunuh sebenarnya telah tertangkap atau pengaruh media sosial telah mengirim seseorang yang tak bersalah ke penjara?

Film dokumenter Ice Cold: Murder, Coffee and Jessica Wongso, tayang 28 September di Netflix.

Langganan: https://bit.ly/3iLADQn

Tentang Netflix:
Netflix adalah salah satu penyedia layanan hiburan terkemuka di dunia dengan lebih dari 238 juta keanggotaan berbayar di lebih dari 190 negara, menyuguhkan serial TV, film, dan game dalam berbagai genre dan bahasa. Anggota dapat memutar, menjeda, dan melanjutkan menonton sesuka mereka, kapan saja, di mana saja, dan dapat mengubah paket mereka kapan pun.

FACEBOOK: https://web.facebook.com/NetflixIndonesia
TWITTER: https://twitter.com/netflixid
INSTAGRAM: https://www.instagram.com/netflixid/

Ice Cold: Murder, Coffee and Jessica Wongso | Trailer Resmi | Netflix
https://www.youtube.com/@NetflixIndonesia",2023-08-31T03:00:02Z,PT1M30S,44302275,274790,0,7032
0r_4vtvcM2g,UCYk4LJI0Pr6RBDWowMm-KUw,Deddy Corbuzier,"KALIAN TAU POLISI PAKAI AHLI HIPNOTIS SAAT PERIKSA JESSICA⁉️CCTV REKAYASA, OTOPSI BOHONG‼️",#jessicawongso #ottohasibuan #mirnasalihin #kopisianida #icecold,2023-10-06T04:20:00Z,PT50M19S,8130859,174297,0,33386
taSECI9NQ4g,UCMgMzUVQjzkEqHmJmuXR0Hw,"dr. Richard Lee, MARS",DR. DJAJA : MIRNA BUKAN MATI KARENA SIANIDA?! INI FAKTA FORENSIK YANG TERABAIKAN?!,"----------------------------------------------------------------------
Follow saya di 
Instagram : https://www.instagram.com/dr.richard_lee/
Tiktok : https://www.tiktok.com/@drrichardlee/

Dan jangan lupa subscribe channel youtube ini.
----------------------------------------------------------------------
== Konsultasi Online:
Mobile: 0823-8555-5963

== Pemesanan Online:
Mobile: 0823-0000-4001

== Official Shopee:
https://shopee.co.id/klinik_kecantikan_athena

== Official Tokopedia
https://www.tokopedia.com/goddesskinathena

== Official Lazada
https://www.lazada.co.id/shop/goddesskin-by-athena/

== Official BukaLapak
https://www.bukalapak.com/u/klinik_kecantikan_athena

== Official Blibli
https://www.blibli.com/merchant/goddesskin-beauty/GOB-60037
----------------------------------------------------------------------

#dokterrichard #goddesskin #klinikathena #athenaeffect https://shopee.co.id/product/140337038/8626829356/
https://shopee.co.id/product/140337038/19453422244/
https://shopee.co.id/product/140337038/2146657428/
https://shopee.co.id/product/140337038/25760920314/
https://shopee.co.id/product/140337038/25870188730/",2023-10-06T12:00:07Z,PT1H3M16S,7599272,154132,0,25408
l6vLuCC0-KU,UCQI1M9NaNl79AktSWNOoLcA,WeTV Indonesia - Get the WeTV APP,"Sianida EP01 | Aghniny Haque, Jihane Almira | WeTV Original","Yuk tonton full episodenya, GRATIS melalui apps WeTV disini https://bit.ly/2UTL4dq !

WeTV Original Sianida
25 Agustus 2021 di WeTV!
Setiap hari Rabu pukul 18:00 WIB (1EP/hari) | VIP 2 EP lebih awal 

Amelia dan Jenny adalah sepasang kekasih yang saling mencintai dari awal. Amelia dipaksa menikah oleh keluarganya dengan David karena ingin memisahkan Amelia dari Jenny. Amelia lalu meminum secangkir kopi berisi racun sianida sampai meninggal dan Jenny dituduh sebagai pembunuhnya. Jenny berbalik mencurigai David sebagai pembunuhnya, namun hal ini sama sekali tidak mudah karena David juga menuduh Jenny mati-matian melalui media, TV, wawancara dan berbagai cara lain. Bisakah Jenny membuktikan dirinya tak bersalah?

Dibintangi oleh: 
1. Aghniny Haque sebagai Jenny 
2. Jihane Almira sebagai Amelia 
3. Rio Dewanto sebagai David 
4. Michelle Joan sebagai Adinda 
5. Nasya Marcella sebagai Dita 
6. Samuel Rizal sebagai Irham dan masih banyak lagi.  

Point menarik: 
1. Drama WeTV Original pertama bertema crime thriller 
2. Cerita konflik cinta, keluarga, harta, dan konspirasi yang akan membuat penonton terus terpikat. 3. Setiap episode menghadirkan misteri dan ketegangan baru serta plot twist yang tidak bisa ditebak 
4. Jajaran cast yang luar biasa seperti Aghniny Haque, Rio Dewanto, Nasya Marcella, Michelle Joan, Samuel Rizal dan Jihane Almira (Puteri Indonesia Jawa Tengah 2020, Puteri Indonesia Pariwisata 2020, dan Miss Supranational Indonesia 2020). 


★Subscribe Now★
☞ 腾讯视频: http://bit.ly/wetvnew
☞ 腾讯视频热播综艺: https://bit.ly/wetvshow
☞ 腾讯视频华语经典剧场: https://bit.ly/wetvdrama
☞ 企鹅大影院：https://bit.ly/wetvmovie
☞ 创造营 CHUANG2021: http://bit.ly/CHUANG2021
☞ WeTV 台灣: http://bit.ly/wetvtw
☞ WeTV Thailand: http://bit.ly/wetvthaisub
☞ WeTV Indonesia: http://bit.ly/wetvinsub
☞ WeTV Vietnam: http://bit.ly/wetvvisub
☞ WeTV English: http://bit.ly/wetveng
☞ WeTV Arabic: http://bit.ly/wetvarab
☞ WeTV Spanish: http://bit.ly/wetvesp
☞ WeTV Korea: http://bit.ly/wetvkr
☞ WeTV Turkish: https://bit.ly/wetvtur
☞ WeTV Russian: https://bit.ly/wetvrus
☞ WeTV Portuguese: https://bit.ly/wetvpt-br
☞ 腾讯视频 - 动漫: http://bit.ly/wetvanime
☞ WeTV Japan: http://bit.ly/wetvjapan

#DRAMA #INDONESIA #WeTV #Sianida #WeTVOriginal",2021-08-27T11:00:16Z,PT40M23S,5709455,64509,0,5107
l7HrRrRg5b4,UCapUP1gKtGuhEkyaaHwxlpw,CURHAT BANG Denny Sumargo,"ICE COLD SIANIDA JESSICA, TEMUKAN BUKTI BARU, JESSICA BISA BEBAS ⁉ (SHANDY & PROF EDY)-Curhat Bang","Kasus pembunuhan Wayan Mirna Salihin yang dilakukan oleh Jessica Kumala Wongso dengan menggunakan kopi sianida pada tahun 2016 kembali menuai perhatian publik. Kasus ini naik setelah muncul tayangan film dokumenter dari Netflix yang berjudul ""Ice Cold: Murder, Coffee and Jessica Wongso"".

Namun setelah film tersebut ditayangkan, sebagian masyarakat memiliki asumsi bahwa Jessica tidak bersalah. Asumsi-asumsi ini keluar setelah mereka menemukan berbagai kejanggalan pada film ini. 

Kali ini, Edward Omar Syarif Hiarej selaku Wakil Menteri Hukum & Hak Asasi Manusia (Wamenkumham) dan Shandy Handika sebagai Jaksa Penuntut Umum (JPU) hadir untuk menjawab dan mengungkapkan apa yang sebenarnya terjadi dalam kasus pembunuhan Mirna. Penasaran dengan kisahnya? Saksikan episode Curhat Bang kali ini bersama dengan Edward Omar Syarif Hiarej dan Shandy Handika.

===================================

Follow me here :
Twitter : www.twitter.com/sumargodeny
Instagram : www.instagram.com/sumargodenny
Facebook Fanpage : www.fb.com/dsumargo


For Your Information:
Buat setiap Comment, Likes, Viewers, Share dan bentuk dukungan apapun dari content video ini. Saya sebagai pemilik akun Curhat Bang akan mendonasikan 10% dari AdSense melalui Instagram @DEDIKASIH.ID (https://www.instagram.com/dedikasih.id/)",2023-10-10T01:17:21Z,PT1H13M54S,4055677,55120,0,46759
hJjedcj-n6E,UC5BMIWZe9isJXLZZWPWvBlg,KOMPASTV,Aktivitas Jessica saat Kopi Datang Hingga Dipindahkan,"Salah satu yang menarik adalah ketika Jessica Kumala Wongso mendadak lupa alasannya memindahkan tas belanjaan sehingga akhirnya menutup arah CCTV. Padahal dalam video rekonstruksi eksklusif yang KompasTV peroleh, Jessica yakin menyimpan tas belanja di belakang sofa meja. Begitu pula saat persidangan beberapa waktu lalu.",2016-10-05T06:32:46Z,PT6M21S,3669557,12328,0,2936
qFuGp1Okq2E,UCSgeCjcPYYZXR62Cykv43sA,7 News Spotlight,Chilling Interview: Why Jessica Wongso murdered her best friend with poisoned coffee,"Sydney-sider Jessica Wongso is better known as the ""Smiling Coffee Killer"" . 

Almost a decade ago, the then  27-year-old brazenly - and fatally - poisoned her best friend in a cafe while holidaying in Jakarta.  Prosecutors claim she was motivated by jealousy. 

Now, after serving just eight years of a 20-year sentence, she’s out - and fighting to clear her name so that she can return home to Australia. In her first ever tell-all interview, Jessica sits down with Liam Bartlett to share her version of events.

But as you’ll see – she still hasn't quite got her story straight. 

#jessicakumalawongso #coffee #indonesia #documentary #assassin 

*Connect with 7NEWS Spotlight online*
*Visit »* https://7news.com.au/spotlight
*7NEWS Spotlight Podcast »* http://smarturl.it/7NewsSpotlight
*Facebook »* https://www.facebook.com/7newsSpotlight/
*Instagram »* https://instagram.com/7newsSpotlight/

7NEWS combines the trusted and powerful news brands including Sunrise, The Morning Show and 7NEWS.com.au, delivering unique, engaging and continuous coverage on the issues that matter most to Australians. Watch 7NEWS nightly at 6pm and weekdays at 12pm and 4pm on Channel 7 and 7plus.",2025-05-18T11:05:01Z,PT44M32S,3401810,34222,0,11705
alOOanmcVVc,UCER4rvDnRBPr_ncYW4UCZjg,tvOneNews ,"[FULL] #JusticeForJessica Bergema, Akankah Kasus Kopi Sianida Kembali Dibuka? | Catatan Demokrasi","Catatan Demokrasi, https://www.tvOnenews.com - [FULL] #JusticeForJessica Bergema, Akankah Kasus Kopi Sianida Kembali Dibuka? | Catatan Demokrasi

Tepat di hari ulang tahun ke-35 #JusticeforJessica membahan. Menyuarakan curiga ada rekayasa dalam kasus kopi sianida. Kuasa hukum dan keluarga Mirna kembali bertarung logika. Sejumlah fakta tersembunyi satu persatu dibuka. Sederet nama pun ikut terseret dalam pusarannya.

CDK01

TOM01
FM01

Saksikan live streaming tvOne hanya di https://www.tvonenews.com/live
Dan jangan lupa untuk follow akun-Akun Sosial Media tvOnenews untuk mendapatkan beragam informasi terkini dan update dari kami:

Facebook - https://www.facebook.com/tvOnenews
Instagram - https://www.instagram.com/tvOnenews
Twitter - https://twitter.com/tvOnenews
TikTok - https://www.tiktok.com/@tvOnenews
Website - https://tvOnenews.com",2023-10-10T15:45:01Z,PT1H11M46S,2601616,25891,0,11590
Y7OJpJuuxHE,UCESyr70yw85_hgdlf8nqobQ,Teknologi Populer,INGAT JESSICA KUMALA DIVONIS 20 TAHUN PENJARA KASUS KOPI SIANIDA? Begini Nasib & Kabarnya Sekarang,"HELLO TEKNOLOVERS!!!
Apakah kalian masih ingat dengan Jessica Kumala Wongso? Ya, Jessica merupakan terdakwa kasus kopi sianida. Namanya kini kembali jadi sorotan publik lantaran orang yang menjebloskan ia dipenjara adalah Ferdy Sambo. Ferdy Sambo saat itu menjabat sebagai Wakil Direktur Reserse Kriminal Kriminal Umum Polda Metro Jaya bersama atasannya Krishna Murti yang kemudian berhasil mengusut kasus sianida dimana Jessica dinyatakan bersalah dan divonis 20 tahun penjara pada 2016 lalu. enam tahun berlalu, lantas seperti apa kondisi Jessica sekarang? Simak ulasan Kondisi Jessica Kumala Wongso Saat Ini dalam video berikut.
====================================
For Business: teknologipopuler@gmail.com
====================================
#TeknologiPopuler menyajikan kabar berita terkini dunia IT meliputi inovasi terbaru dan penemuan teknologi yang menarik. Temukan informasi teknologi terkini dan paling lengkap hanya di Teknologi Populer!

Terus dukung Channel kami dengan Subscribe, like dan share video kami, jika kamu memiliki saran dan kritik silahkan cantumkan dikolom komentar video kami.


For copyright matters please contact us at: teknologipopuler@gmail.com

Disclaimer - Some contents are used for educational purpose under fair use. Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.",2022-09-21T07:30:07Z,PT12M8S,2297454,13004,0,3332
HLHV_-0zl7U,UCWDT2-UCGXRs0iPuT-X26-w,Karni Ilyas Club,"KASUS KOPI SIANIDA HEBOH LAGI! // ""DIMANA BUKTI JESSICA MERACUN MIRNA??""","- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
#karniilyas #karniilyasclub

Thank u for watching. Don't forget to subscribe, like, and comment my youtube channel !

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Find me on social media :
Instagram : http://instagram.com/presidenilc
Instagram : http://instagram.com/karniilyasclub
Twitter : http://twitter.com/karniilyas
Twitter : http://twitter.com/karniilyasclub

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

For YouTube business inquiries related to My video/channel, such as brand's placement, contact: karniilyasclub@gmail.com

Contact Business Inquiries Only: karniilyasclub@gmail.com

Karni Ilyas Club Youtube is under management of Tribee Indonesia",2023-10-06T02:00:06Z,PT1H13M7S,2125835,33902,0,11653
