video_id,channel_id,channel_title,title,description,published_at,duration,view_count,like_count,fave_count,comment_count
RRf-8BzKliA,UCoSkllfpgmFHtbVK835QaQg,Official iNews,JPU: Mario Dandy Tampak Senang saat Lakukan Kekerasan Sadis Terhadap David Ozora,"Tersangka kasus penganiayaan, Mario Dandy Satriyo (20) dinilai bersenang-senang saat menganiaya korban Cristalino David Ozora (17) secara sadis. Terlebih Mario menendang bagian kepala David Ozora yang dianggapnya seakan-akan sedang menendang bola.

Hal itu disampaikan oleh Jaksa Penuntut Umum (JPU) saat membacakan surat dakwaannya pada sidang perdana Mario di PN Jakarta Selatan, Selasa (6/6/2023).

Part 1 dan 2: https://youtu.be/RRf-8BzKliA
Part 3 dan 4: https://youtu.be/ItXVT76xT6E
Full: https:https://youtu.be/TiKZ5PnfKsc

Dapatkan sajian berita-berita liputan langsung dari lapangan dan peristiwa terkini secara cepat dan akurat dari seluruh Indonesia. Baca berita-berita terpopuler di sini:

iNews https://www.inews.id 
Okezone https://www.okezone.com 
Sindonews https://www.sindonews.com 
IDX Channel https://www.idxchannel.com 
Celebrities https://www.celebrities.id 
Sporstars https://www.sportstars.id 

Jangan lewatkan juga berbagai program talk show yang mengupas berbagai masalah yang tengah hangat di masyarakat, baik di bidang sosial, ekonomi, hingga dunia hukum dan politik. Semuanya dikemas secara apik, mendalam, menyentuh dan tetap kritis. 

Subscribe iNews Official Youtube Channel https://www.youtube.com/OfficialiNews
Follow our Official TikTok https://www.tiktok.com/@officialinews
Follow our Official Twitter https://twitter.com/OfficialiNewsTV
Like our Official Facebook https://www.facebook.com/OfficialiNews
Follow our Official Instagram https://www.instagram.com/officialiNews

Tanggal Tayang: 11/06/2023

#AB+ #davidozora  #mariodandy",2023-06-12T05:00:09Z,PT28M7S,351786,2396,0,1350
vsNWjBtd48M,UCD4mYEJsyoMWsZsXApoJnzw,TribunJakarta Official,"Jawaban Mario Dandy saat Ditanya Alasan Aniaya David hingga Koma, Kini Mengaku Menyesal","TRIBUN-VIDEO.COM - Tersangka penganiayaan terhadap anak petinggi GP Ansor, David, yakni Mario Dandy disebut telah menyesali perbuatannya.

Selain itu Dandy juga sempat ditanya terkait alasannya menganiaya David hingga koma dan harus menjalani perawatan intensif di ICU.

Sikapnya ini pun berbanding terbalik dengan pernyataannya dalam video penganiayaan yang beredar yang menyatakan dirinya tak masalah bila dilaporkan.

Penyesalan Dandy disampaikan oleh Kasi Humas Polres Metro Jakarta Selatan, AKP Nurma Dewi kepada wartawan pada Sabtu (25/2) seperti dikutip dari TribunJakarta.

Nurma mengatakan, dirinya bertanya langsung pada Dandy terkait hal ini.

Tak hanya itu, Nurma juga sempat menanyakan alasan Dandy menganiaya David hingga tak sadarkan diri dan mengalami luka cukup parah.

Meski begitu, Dandy tak menjelaskannya secara gamblang.

""Iya nyesal. 'Kenapa bisa begitu sih?', saya gituin. Dia bilang 'ya gitu lah', gitu doang. Raut mukanya juga keliatan kalau nyesal,"" ungkap Nurma.

Dalam video penganiayaan yang beredar, Dandy sempat mengatakan tak masalah bila dirinya dilaporkan ke polisi atas perbuatannya tersebut.

Namun perbuatannya tersebut telah merembet ke sejumlah hal hingga membuat sang ayah dipecat dari jabatannya di Ditjen Pajak.

Sejauh ini polisi sudah menetapkan dua tersangka penganiayaan terhadap David.

Selain Dandy, juga ada rekannya yakni Shane Lukas yang berperan merekam aksi penganiayaan sadis ini menggunakan ponsel milik Dandy.

Terbaru, polisi mengungkapkan bahwa penganiayaan ini diprovokasi oleh teman Dandy yang lain berinisial APA.

Menurut polisi, APA disebut yang memberikan informasi terkait perbuatan tidak baik yang dilakukan oleh korban terhadap kekasih Dandy yakni AGH.

Mendapat informasi ini, Dandy pun mengonfirmasi pada AGH dan dibenarkan.

Hal inilah yang kemudian memicu aksi penganiayaan sadis tersebut.


Artikel ini telah tayang di TribunJakarta.com dengan judul Ditanya Alasan Aniaya David, Mario Dandy Cuma Jawab: Ya Gitu Lah, https://jakarta.tribunnews.com/2023/02/26/ditanya-alasan-aniaya-david-mario-dandy-cuma-jawab-ya-gitu-lah?_ga=2.166091709.2074062736.1677369838-561126170.1662110583.
Penulis: Annas Furqon Hakim | Editor: Acos aka Abdul Qodir",2023-02-26T11:06:25Z,PT2M39S,338386,1109,0,963
x5tijCuLhiM,UCPAxpUn1mrn14xU0JpsLhDg,Kompas.com,Mario Dandy Peragakan Selebrasi ala Cristiano Ronaldo Usai Aniaya David,"Tersangka kasus penganiayaan anak pengurus GP Ansor David Ozora (17), Mario Dandy Satrio (20) menjalani rekonstruksi di Perumahan Green Permata, Ulujami, Pesanggrahan, Jakarta Selatan pada Jumat (10/3/2023).

Dalam rekonstruksi tersebut, Mario diminta untuk memperagakan adegan-adegan seputar penganiayaan, termasuk soal selebrasi ala pesepakbola Cristiano Ronaldo yang sempat viral di media sosial.

Gerakan Mario saat reka adegan terlihat lemas. Polisi pun meminta agar Mario memperagakannya dengan benar.

Simak selengkapnya dalam video berikut.

Video Jurnalis: Syalutan Ilham
Penulis Naskah: Syalutan Ilham
Video Editor: Syalutan Ilham
Produser: Rakhmat Nur Hakim

#mariodandysatrio #JernihkanHarapan",2023-03-10T12:39:38Z,PT3M14S,335712,1119,0,650
qvEqnNdvuWQ,UCT5H_ppXrhC7SFurhrezJKw,Tribun Sumsel,"Nasib Mantan Mario Dandy yang Dituding Pembisik, Hilang Pekerjaan dan Malu di Kampus","Setelah dituduh menjadi provokator atau pembisik Mario Dandy yang mengakibatkan pengianiayaan terhadap David Ozora, Anastasia Pretya Amanda ternyata menerima sejumlah kerugian. 

Kuasa hukum Amanda, Enita Edyalaksmita menyampaikan, kliennya alami kerugian moril dan materil. Salah satunya mendapatkan gangguan dalam perkuliahannya. 

Atas tudingan sebagai pembisik oleh Mario Dandy, Amanda kini menutup semua sosial medianya. Bahkan ia harus kehilangan sidejobnya sebagai seorang influencer. 

Tak hanya itu, Enita juga membeberkan kondisi Amanda yang kini sangat tertekan atas tuduhan yang dilayangkan kepada kliennya.

Tribun Sumsel/Ninis
Editor/Eli

Baca berita di ------- http://sumsel.tribunnews.com/

Follow Instagram --------- https://www.instagram.com/tribunsumsel/

Like fanspage --------- https://www.facebook.com/harian.tribun.sumsel/",2023-03-28T08:31:42Z,PT36S,314800,2144,0,255
iVFjT3GS3bQ,UC5BMIWZe9isJXLZZWPWvBlg,KOMPASTV,"[FULL] Keterangan Mario Dandy, Ngaku Berbohong hingga Punya Pelat Palsu","JAKARTA, KOMPAS.TV - Mario Dandy menjadi saksi dalam sidang penganiayaan David Ozora dengan terdakwa Shane Lukas, di PN Jakarta Selatan, Selasa (4/7/2023).

Terkuak sejumlah fakta, di antaranya Mario Dandy ternyata memasang pelat nomor palsu di mobil Rubicon, mobil yang ia pakai ketika menghajar David.

Mario juga mengaku memberikan keterangan palsu saat penyidik kepolisian menulis berita acara pemeriksaan (BAP).

Video editor: Agung Ramdani

Baca Juga [FULL] Saksi Ahli Beberkan Kondisi David di Sidang Mario Dandy di https://www.kompas.tv/video/423705/full-saksi-ahli-beberkan-kondisi-david-di-sidang-mario-dandy

 

Artikel ini bisa dilihat di :  https://www.kompas.tv/video/423706/full-keterangan-mario-dandy-ngaku-berbohong-hingga-punya-pelat-palsu",2023-07-08T10:44:02Z,PT1H39M58S,293258,1818,0,970
YBWG9O2A45Y,UC5BMIWZe9isJXLZZWPWvBlg,KOMPASTV,Cerita Ayah Emosi Saat Ada Perwakilan Keluarga Mario Dandy Minta David Pindah RS,"JAKARTA, KOMPAS.TV  Ayah David, Jonathan Latumahina ceritakan ada oknum yang disuruh oleh keluarga terdakwa Mario Dandy meminta untuk David pindah rumah sakit.

Lantas Ayah David kemudian emosi lantaran tiba-tiba ada seseorang yang mengatur pengobatan anaknya.

Hal ini disampaikan Jonathan saat menjadi saksi dalam kasus penganiayaan David Ozora dengan terdakwa Mario Dandy dan Shane di Pengadilan Negeri Jakarta Selatan pada Selasa (13/6/2023)

""Saya tanya kamu siapa, kamu anggota ya, bukan pak, kamu siapa, kenapa nanya-nanya terus dari tadi maksa-maksa saya harus melakukan yang kamu mau,"" cerita Ayah David.

Ayah David menjelaskan bahwa orang yang meminta pindah rumah sakit tersebut merupakan perwakilan dari keluarga Mario Dandy.

Video Editor: Vila Randita

Baca Juga Cerita Ayah Pertama Kali Lihat Kondisi David usai Dianiaya Mario Dandy: Telinganya Berdarah di https://www.kompas.tv/video/415787/cerita-ayah-pertama-kali-lihat-kondisi-david-usai-dianiaya-mario-dandy-telinganya-berdarah

 

Artikel ini bisa dilihat di :  https://www.kompas.tv/video/415795/cerita-ayah-emosi-saat-ada-perwakilan-keluarga-mario-dandy-minta-david-pindah-rs",2023-06-13T05:02:55Z,PT4M46S,272019,1640,0,240
eqkEMbSrVsE,UC5BMIWZe9isJXLZZWPWvBlg,KOMPASTV,Momen Hakim Gerah Dengar Kesaksian Mario Dandy: Yaudahlah Terserahmu lah,"JAKARTA, KOMPASTV  Hakim melontarkan kalimat 'yaudah terserahmu lah' kepada Mario Dandy saat sidang kasus penganiayaan terhadap Cristalino David Ozora, Selasa (4/7/2023).

Hal itu dilontarkan hakim saat bertanya kepada Mario niatan terus menganiaya David sedangkan sudah terluka parah. 

Mario menyimpulkan bahwa jawaban 'tidak tahu' dari David atas hubungannya dengan AG bukan bentuk klarifikasi.

""Dia bilangnya dia nggak tahu. Berarti, kalau dia bilang nggak tahu, dia bukan nggak ngaku, dia bilangnya nggak tahu kalau (AG) sudah jadi pacar saya,"" ucap Mario.

Baca Juga Hakim Cecar Niat Mario Aniaya David Ozora: Saudara Diam Dulu! di https://www.kompas.tv/video/422618/hakim-cecar-niat-mario-aniaya-david-ozora-saudara-diam-dulu

Mario Dandy tetap bersikeras bahwa jawaban 'tidak tahu' dari David.

""Yaudahlah terserah mu lah. Jadi intinya gitu, Saudara melakukan itu? Kalau tidak dilerai Shane, Saudara tetap melakukan perbuatan itu?"" tanya hakim.

""Pada saat itu iya, Yang Mulia,"" jawab Mario Dandy.

Video Editor: Febi
 

Artikel ini bisa dilihat di :  https://www.kompas.tv/video/423824/momen-hakim-gerah-dengar-kesaksian-mario-dandy-yaudahlah-terserahmu-lah",2023-07-08T15:37:51Z,PT5M12S,261845,418,0,325
1V6pAJRMZ5Y,UCmxAIW7RDDC88EPk4ry16Kg,Tribunnews,"Mario Dandy Pakai Sepatu Branded saat Rekonstruksi Penganiayaan David, Polisi Itu Milik Penyidik","TRIBUN-VIDEO.COM - Penampilan Mario Dandy Satriyo (20) saat rekonstruksi kasus penganiayaan David menjadi sorotan.

Pasalnya, ia mengenakan sepatu merek Nike yang harganya ditaksir mencapai Rp 1 juta.

Terkait hal ini, Dirkrimum Polda Metro Jaya Kombes Hengki Haryadi memberikan penjelasan.

Hengki menyebut, sepatu yang digunakan Mario adalah milik penyidik kepolisian.

""Sepatu itu milik penyidik, dipinjamkan kepada Mario untuk menyesuaikan situasi yang sebenarnya,"" ujar Hengki, dikutip dari Tribunnews.com, Minggu (12/3).

Mario mengenakan sepatu mahal itu tepat sebelum rekonstruksi dimulai.

Menurut Hengki, penyidik meminjamkan sepatunya kepada Mario untuk menyesuaikan situasi saat penganiayaan terjadi.

Oleh karena itu, ia meminta publik agar tidak berpandangan negatif soal alas kaki yang digunakan tersangka.

(Tribun-Video.com)

Artikel ini telah tayang di Tribunnews.com dengan judul Viral Mario Dandy Pakai Sepatu Seharga Rp 1 Jutaan saat Rekonstruksi, Ternyata Bukan Miliknya, https://www.tribunnews.com/nasional/2023/03/12/viral-mario-dandy-pakai-sepatu-seharga-rp-1-jutaan-saat-rekonstruksi-ternyata-bukan-miliknya.
Penulis: Linda Nur Dewi R
Editor: Pravitri Retno Widyastuti

VO: Agung Laksono
VP: Indra

#beritaterbaru #beritaterkini #beritaviral #live #breakingnews 
#mariodandy",2023-03-12T14:57:48Z,PT42S,246471,1429,0,342
snQZ-ZlkLSI,UCzl0OrB3-ehunyotIQvK77A,METRO TV ,Sidang Mario Dandy Hadirkan AG Menjadi Saksi,"MetroTV, Dulu kekasih, sekarang berselisih. Mungkin kata itu tepat disematkan kepada Mario Dandy dan AG. Dalam lanjutan sidang kasus peng4n14y44n David Ozora, AG dijadwalkan menjadi saksi yang memberatkan bagi Mario Dandy, sang mantan kekasih.

AG bahkan telah melaporkan Mario Dandy sebanyak dua kali atas dugaan p3nc4bul4n terhadap dirinya.

#mariodandy #sidangmariodandy #shanelukas #Metrotv #topreviewmetrotv
-----------------------------------------------------------------------

Follow juga sosmed kami untuk mendapatkan update informasi  terkini!

Website: https://www.metrotvnews.com/
Facebook: https://www.facebook.com/metrotv/
Instagram: https://www.instagram.com/metrotv/
Twitter: https://twitter.com/metro_tv
TikTok: https://www.tiktok.com/@metro_tv",2023-06-20T04:38:05Z,PT3M,228612,976,0,589
MDki6oMfr3s,UCSV7FgMcSdOWxeSCYCD3UOA,Warta Kota Production,"Bukan AG, Ternyata Ini Dia Wanita 'Provokator"" Mario Dandy","https://wartakota.tribunnews.com/2023/02/26/video-bukan-ag-ternyata-ini-dia-wanita-provokator-mario-dandy

WARTAKOTALIVE.COM, JAKARTA- Kasus penganiayaan yang menimpa David Latumahina (17) masih terus bergulir.

Terbaru, polisi memeriksa saksi berinisial APA yang diduga memprovokasi pelaku, Mario Dandy Satriyo (20).

APA disebut sebagai pihak yang mengabari Mario bahwa pacarnya mendapat perlakuan tak pantas dari David.

Hal tersebut disampaikan Kapolres Metro Jakarta Selatan Kombes Ade Ary, Jumat (24/2).

Penulis : Vicky Uswatun Hasanah
Sumber: dari berbagai sumber
Video Editor :Luttex

#mariodandy #anakpejabatpajak #aksikekerasan

#wartakota23tahun #hutwk23 #warkotsemakinoptimis",2023-02-26T14:50:11Z,PT4M38S,227220,615,0,651
