video_id,channel_id,channel_title,title,description,published_at,duration,view_count,like_count,fave_count,comment_count
DGcJFwFMj9Q,UCudik2UCrl1TGyyPZ2I9Pvg,CINEMA 21,VINA: Sebelum 7 Hari - Official Trailer,"#vinasebelum7hari #naylapurnama

Official Trailer #VINASEBELUM7HARI

Tak semua cerita terbuka di balik luka. Ada suka-duka, keluarga dan trauma yang tersisa. VINA: Sebelum 7 Hari akan mengungkap yang tak tersampaikan selama ini. Al Fatihah untuk Vina

8 Mei 2024, di Cinema XXI!

SUBSCRIBE Youtube Cinema 21 untuk info film paling asik dan jangan lupa follow social media Cinema XXI lainnya di:
Instagram: https://www.instagram.com/cinema.21/​​​​​
Twitter: https://twitter.com/cinema21​​​​​
Facebook: https://www.facebook.com/CinemaXXI/​​​​​
Tiktok: https://www.tiktok.com/@cinema.21",2024-04-18T09:59:00Z,PT1M52S,17274399,57968,0,3073
zqlU-LCm0uE,UCapUP1gKtGuhEkyaaHwxlpw,CURHAT BANG Denny Sumargo,KASUS VINA CIREBON KELUARGA UNGKAP CERITA SEBENARNYA!! 8 TAHUN BERLALU PELAKU MASIH ADA YANG BEBAS!,"Siapa disini yang ngikutin kasus Vina Cirebon? Kasus ini terjadi pada tahun 2016 dan viral karna kesadisan pembunuh vina dan pacaranha yang dilakukan oleh sekelompok anggota geng motor, Tidak hanya itu gadis berusia 16 tahun tersebut bahkan di perkoas oleh para pelaku

Pada kesempatakan kali ini, tim
curhat bang menghadirkan Keluarga Vina untuk memberikan kronologis yang sebenarnya atas apa yang dialami oleh almh.vina, Bagaimana Kisahnya? Saksikan Curhat Bang Kali ini bersama Keluarga Vina.
===================================

For Your Information:
Buat setiap Comment, Likes, Viewers, Share dan bentuk dukungan apapun dari content video ini. Saya sebagai pemilik akun Curhat Bang akan mendonasikan 10% dari AdSense melalui Instagram @DEDIKASIH.ID
===================================

Follow me here :
Twitter : www.twitter.com/sumargodeny
Instagram : www.instagram.com/sumargodenny
Facebook Fanpage : www.fb.com/dsumargo",2024-05-14T12:00:02Z,PT40M47S,15069218,410321,0,65726
vCTS_xeqy74,UCB1fvlA5xmLJ0tZblpoTuaQ,VIVA.CO.ID,Arwah Vina Ungkap Rahasia Kematian dan Pelaku Dibeking Polisi,"VIVA - Kisah kematian tragis sepasang kekasih bernama Vina dan Eky pada tahun 2016 silam kembali menjadi sorotan publik.

Pasalnya, arwah Vina mengungkap rahasia besar di balik perbuatan keji para pelaku terhadap dirinya. Selain itu, disebutkan bahwa salah satu pelaku memiliki bekingan polisi. (RP-DRP-DA) #VIVAnewsdaily

Baca berita terbaru, terkini dan terpopuler disini https://www.viva.co.id/",2023-07-16T06:00:21Z,PT3M34S,5780711,30819,0,10040
iVFKVPX1TNM,UC_SBt2BFBkExq_azj-P5lNA,Nessie Judge,Kronologi Lengkap KASUS VINA CIREBON. | #NERROR,"Buku ""THE NERROR VAULT: Conspiracy"":
https://shope.ee/8f1r2MXErR

Dear Nerrorist, 
WELCOME TO THE ALL NEW YOUTUBE.COM/NESSIEJUDGE 🖤🔪

I HOPE YOU GUYS ENJOY THE NEW SEASON. 
As always, I luh ya, Nessie 

Buku ""THE NERROR VAULT: Conspiracy"":
https://shope.ee/8f1r2MXErR

FOR PARTNERSHIP, please contact: 
judgenessie@gmail.com & nessiejudge.team@gmail.com

FOLLOW ME ON:
X: https://twitter.com/nessiejudge
Instagram: https://www.instagram.com/nessiejudge/
TikTok: https://www.tiktok.com/@nessiejudge2


----------------------------------------­--------------------------------
Background music :
Youtube Creation Tools
----------------------------------------­--------------------------------
Semua material yang difitur dalam video dimiliki oleh para pemiliknya yang kami hormati. Kami tidak mengklaim video mereka sebagai milik kami.

Semua video/foto/silhouette yang digunakan dalam penjelasan adalah sebatas visualisasi, bukan merupakan foto asli atau gambaran asli dari kasus yang dibahas, kecuali dijelaskan sebaliknya.

FAIR USE DISCLAIMER:
Penafian Hak Cipta di bawah bagian 107 dari Undang-Undang Hak Cipta 1976, tunjangan dibuat untuk ""penggunaan yang adil"" untuk tujuan seperti kritik, komentar, pelaporan berita, pengajaran, beasiswa, pendidikan dan penelitian. Penggunaan wajar adalah penggunaan yang diizinkan oleh undang-undang hak cipta yang mungkin melanggar.

Copyright Disclaimer under section 107 of the Copyright Act of 1976, allowance is made for “fair use” for purposes such as criticism, comment, news reporting, teaching, scholarship, education and research. Fair use is a use permitted by copyright statute that might otherwise be infringing.",2024-05-21T11:46:36Z,PT25M17S,4299992,110103,0,8357
8zcnz5Xup94,UCbX_TueacKEifdw8lAjARNQ,Nadia Omara,KEANEHAN KASUS 8 TAHUN LALU - VINA CIREBON,"Editor : pijardhika
Filming date : 5 Jun 2024
---------------------------------------
Contact person for business only :
Email : nadiaomarainfo@gmail.com

Yuk! join membership wak
https://www.youtube.com/channel/UCbX_TueacKEifdw8lAjARNQ/join 

Punya saran pembahasan video selanjutnya ? 
isi disini ya wak : https://bit.ly/SaranTopikNOC",2024-06-08T12:00:19Z,PT39M38S,3270702,95607,0,4237
ETkBGPPxXQg,UC-ky0ON5vuB41a-BIHNhMuw,KOMPASTV SUKABUMI,"[FULL] Kesaksian Dedi Mulyadi di Sidang PK Kasus Vina, Yakin Para Terpidana Bukan Pelaku","CIREBON, KOMPAS.TV - Mantan Bupati Purwakarta Dedi Mulyadi hadir sebagai saksi di lanjutan sidang PK terpidana kasus Vina di Pengadilan Negeri (PN) Cirebon, pada Jumat (20/9/2024). 

Dalam kesaksiannya, Dedi Mulyadi meyakini bahwa para terpidana bukan pelaku pembunuhan lantaran peristiwa kematian Vina diyakininya sebagai kecelakaan.

""Saya meyakini mereka tidak berbuat karena peristiwanya bukan pembunuhan tapi kecelakaan. Mereka bukan pembunuh, 1 juta persen saya yakin itu,"" ujar Dedi.

Sahabat Kompas TV Sukabumi! Jangan lupa like, comment, dan subscribe channel YouTube Kompas TV Sukabumi, juga aktifkan lonceng notifikasi agar tidak ketinggalan update mengenai isu-isu terkini di Indonesia.

Jangan lewatkan live streaming Kompas TV 24 jam non stop di https://www.kompas.tv/live.

Sosial Media Kompas TV Sukabumi:
YouTube : https://www.youtube.com/c/KompasTVSukabumi/videos
Instagram : https://www.instagram.com/kompastvsukabumi
Facebook : https://www.facebook.com/redaksikompastvsukabumi
Twitter : @ktvsukabumi
TikTok : https://www.tiktok.com/@kompastvsukabumi",2024-09-20T06:29:15Z,PT49M31S,3057693,19289,0,2585
1WIPQMBdH-Y,UCiFM5EHunF5tL0pMR6Pooaw,RJL 5 - Fajar Aditya,"BONGKAR RAHASIA?! REZA INDRAGIRI PAPARKAN MASALAH SAKA, PEGI, LINDA KASUS VINA CIREBON #OMMAMAT","Jangan lupa follow Instagram kita:
- https://instagram.com/donfajaraditya
- https://www.instagram.com/rjl5.official/ 
- https://www.tiktok.com/@donfajaraditya
================================================
Kasus Vina Cirebon mulai memasuki babak baru dengan ditangkap seorang pelaku yaitu Pegi alias Perong. Seharusnya kita bersyukur bila ternyata ia adalah orang yang selama ini dicari tapi uniknya netizen malah terbagi dua dan menanyakan apakah ini pegy yang asli dicari selama ini?

Mulai dari pengakuan saka salah tangkap dan bukan pelakunya, kemunculan orang tua pegy seakan membuat kita bingung ada apa dibaik kasus vina cirebon

Malam ini kita kedatangan seorang psikolog forensik yang mungkin familiar kita liat beliau sering muncul di tv ketika kasus-kasus besar termasuk kasus vina cirebon ini

Reza Indragiri memberikan pandangannya terkait kasus ini khususnya tentang temuan mohon maaf cairan putih yang ada.

Gimana menurut kalian?

#vina #cirebon 
===================================================
Special Thanks to : Reza Indragiri
====================================================
TONTON VIDEO ANGGY UMBARA BUKA-BUKAAN KASUS VINA CIREBON :
- https://youtu.be/6w3R8wNvRUM

USTAD FAIZAR BAHAS KASUS KESURUPAN LINDA :
- https://youtu.be/KT34Hh4OKGE

SUROTO JELASKAN KESAKSIANNYA DI PENGADILAN TAHUN 2016 :
- https://youtu.be/a8ZaeOhOAT8
====================================================
Copyright 2024, RJL 5",2024-05-24T12:24:36Z,PT47M37S,2382905,36687,0,8763
BAif6feJf9w,UCTvKE2_wQnvifq6sEskAq2w,Tahu Sih,"The Vina Cirebon Case in 2016, Murdered by a Motorcycle Gang #shorts","The Vina Cirebon case in 2016, brutally murdered by a motorcycle gang

Tags: Vina Cirebon 2016, Vina Cirebon case, Cirebon motorcycle gang, Vina 2024 film, Vina murdered

Hashtags: #tahusih #yearofyou #vina #film #feedshorts #jasmerah #crime #shortvideo #cirebon",2024-03-03T03:15:00Z,PT23S,2154862,0,0,1415
PDqrgp957WY,UCL_xrnvh9vjQPDYUAu0sL_w,Tang Makkaporn,“Vina Cirebon case” คดีดับปริศนาสองราย ที่วิญญาณคนตายกลับมาไขคดี | เวรชันสูตร Ep.209,"เรื่องราวในวันนี้ที่ตังค์จะมาเล่าให้กับเพื่อน ๆ ฟังนะครับ มันเป็นเรื่องราวเกี่ยวกับคดีฆาตกรรมที่เกิดขึ้นในประเทศเพื่อนบ้านอาเซียนของเราอย่างอินโดนีเซียครับ ซึ่งเมื่อเดือนพฤษภาคมปี 2024 ที่ผ่านมา ในอินโดนีเซียได้มีภาพยนตร์สยองขวัญเรื่องหนึ่งออกฉายในชื่อว่า “Vina: Sebelum 7 Hari” (อ่านว่า วีนา-เซเบลุม-ตูจุ-ฮารี) หรือถ้าแปลไทยก็จะมีความหมายประมาณว่า “วีนา ก่อนเจ็ดวันผันผ่าน” โดยเนื้อหาจะเล่าถึงเด็กสาวคนหนึ่งผู้มีชื่อว่า วีนา ซึ่งเธอได้ตกเป็นเหยื่อความรุนแรงของแก๊งมอเตอร์ไซค์ในนครจีเรอบน แต่การตายของเธอกลับถูกเข้าใจผิดว่าเกิดจากอุบัติเหตุจราจรธรรมดา วีนาจึงกลับมาในรูปแบบของวิญญาณเพื่อเปิดเผยความจริงเบื้องหลังการตายของตัวเอง 
ภาพยนตร์เรื่องนี้สร้างอิงจากคดีฆาตกรรมของวีนาและแฟนหนุ่มที่เกิดขึ้นจริงเมื่อปี 2016 ซึ่งหลังจากหนังออกฉาย คดีมันก็ได้กลับมาเป็นประเด็นร้อนระดับประเทศอีกครั้ง จนตำรวจอินโดต้องรื้อคดีขึ้นมาทำต่อเพื่อตามจับคนร้ายที่ยังลอยนวล และสิ่งที่ยิ่งสร้างความฮือฮาในหมู่ชาวเน็ตเข้าไปใหญ่ก็คือคลิปเสียงเมื่อแปดปีก่อนของเพื่อนสาวของวีนา ที่เธอกำลัง “ถูกเข้าสิง” โดยวิญญาณของวีนาเอง และเธอได้บอกเล่าเหตุการณ์ในคืนวันเกิดเหตุอย่างละเอียด รวมไปจนถึงตัวฆาตกรที่ตำรวจยังตามจับไม่ได้อีกด้วย 
เรื่องราวทั้งหมดทั้งมวลเป็นอย่างไร เกิดอะไรขึ้นกับวีนาและแฟนหนุ่มของเธอกันแน่  แล้วเหยื่อที่เสียชีวิตไปไม่ได้รับความเป็นธรรม จนวิญญาณต้องกลับมาไขคดีให้กระจ่างเองจริงหรือ? สำหรับวันนี้ในรายการเวรชันสูตร ตังค์จะพาเพื่อน ๆ ทุกคนมาชำแหละคดีนี้ไปพร้อม ๆ กันครับ กับ “วีนา จีเรอบน เคส” คดีดับปริศนาสองราย ที่วิญญาณคนตายกลับมาไข?

งานโฆษณาช่องทางนี้เลยครับ
K.ดา 085-1477821 (เลขา)
or  📩 tang.doctorhouse@gmail.com
 
ติดตามตังค์ได้เพิ่มเติมที่
Facebook https://facebook.com/TangMakkaporn/
Ig : https://www.instagram.com/makkaporn/?...
Tiktok : https://vt.tiktok.com/ZS4Y8dPY/",2024-07-06T12:45:01Z,PT38M1S,2147717,49244,0,1509
Derrf8peD8E,UCER4rvDnRBPr_ncYW4UCZjg,tvOneNews ,Titik Terang? CCTV Kasus Vina Mencuat Setelah 8 Tahun | Kabar Pagi tvOne,"Kabar Pagi, https://www.tvOnenews.com - Titik Terang? CCTV Kasus Vina Mencuat Setelah 8 Tahun | Kabar Pagi tvOne

Babak baru kasus Vina Cirebon kian hari kian membuat publik makin penasaran, Munculnya rekaman diduga merupakan CCTV dari kasus pembunuhan Vina dan Eky yang mencuat setelah delapan tahun lamanya membuat geger publik.

Meski saat ini CCTV tersebut masih harus dikonfirmasi kebenarannya, menimbulkan pertanyaan jika memang CCTV tersebut benar adanya kenapa baru dimunculkan sekarang.

Kenapa tidak dihadirkan di dalam persidangan padahal CCTV tersebut bisa menjadi bukti yang sangat signifikan dan bukti yang sangat penting untuk mengungkapkan kasus Vina.

#Vina #VinaCirebon #PegiPerong #Eky #pembunuhanvina

KABPAG01

TOM01
FM01

Saksikan live streaming tvOne hanya di https://www.tvonenews.com/live
Dan jangan lupa untuk follow akun-Akun Sosial Media tvOnenews untuk mendapatkan beragam informasi terkini dan update dari kami:

Facebook - https://www.facebook.com/tvOnenews
Instagram - https://www.instagram.com/tvOnenews
Twitter - https://twitter.com/tvOnenews
TikTok - https://www.tiktok.com/@tvOnenews
Website - https://tvOnenews.com",2024-06-03T01:53:29Z,PT8M21S,1880866,7336,0,1449
